year,start_date,end_date,host_country,first_place,second_place,third_place,fourth_place,total_teams,matches_played,total_goals,total_attendance
1930,13/07/30,30/07/30,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,"590,549"
1934,27/05/34,10/06/34,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,"363,000"
1938,4/06/38,19/06/38,France,Italy,Hungary,Brazil,Sweden,15,18,84,"374,835"
1950,24/06/50,16/07/50,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,"1,045,246"
1954,16/06/54,4/07/54,Switerland,West Germany,Hungary,Austria,Uruguay,16,26,140,"768,607"
1958,8/06/58,29/06/58,Sweden,Brazil,Sweden,France,West Germany,16,35,126,"819,810"
1962,30/05/62,17/06/62,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,"893,172"
1966,11/07/66,30/07/66,England,England,West Germany,Portugal,Soviet Union,16,32,89,"1,563,135"
1970,31/05/70,21/06/70,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,"1,604,065"
1974,13/06/74,7/07/74,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,"1,865,762"
1978,1/06/78,25/06/78,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,"1,545,791"
1982,13/06/82,11/07/82,Spain,Italy,West Germany,Poland,France,24,52,146,"2,109,723"
1986,31/05/86,29/06/86,Mexico,Argentina,West Germany,France,Belgium,24,52,132,"2,394,031"
1990,8/06/90,8/07/90,Italy,West Germany,Argentina,Italy,England,24,52,115,"2,516,215"
1994,17/06/94,17/07/94,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,"3,597,042"
1998,10/06/98,12/07/98,France,France,Brazil,Croatia,Netherlands,32,64,171,"2,785,100"
2002,31/05/02,30/06/02,Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,"2,705,198"
2006,9/06/06,9/07/06,Germany,Italy,France,Germany,Portugal,32,64,147,"3,359,439"
2010,11/06/10,11/07/10,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,"3,178,856"
2014,12/06/14,13/07/14,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,"3,429,873"
2018,14/06/18,15/07/18,Russia,France,Croatia,Belgium,England,32,64,169,"3,031,768"
2022,20/11/22,18/12/22,Qatar,Argentina,France,Croatia,Morocco,32,64,172,"3,404,252"